"row_id","upc","brand_filled","product_line","product_descr","imputed_num_cartridges","imputed_mL_per_cartridge","imputed_total_mL","imputed_nic_mg_per_ml","imputation_basis","priority","total_units","cum_unit_share"
126,"085438400470","LOGIC","LP ECGLC PLATINUM MN","LP ECGLC PLATINUM MN",5,1.45,7.25,"18","prefix10","1-CHECK",20335,0.873
127,"081991301500","JUUL","ELCT CGRTT CARTRIDGE","ELCT CGRTT CARTRIDGE",2,0.7,1.4,"50","prefix11","3-single-sibling",20184,0.875
128,"085001975200","PUUR VAPOR","PUUR VAPOR","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY CREAM 750 PUFFS BOX 1 COUNT",1,12,12,"13.5","prefix10","4-minor",19871,0.876
129,"084920501715","VUSE",,"VUSE VIBE SMOKING ALTERNATIVE PRODUCT LIQUID VAPORIZER PEN NECTAR 1 COUNT",1,1.9,1.9,"30","prefix11","3-single-sibling",19715,0.878
130,"036586037169","VAPIN PLUS","VPLS E-CG LIQUID RICH TOB","VPLS E-CG LIQUID RICH TOB",1,14.99,14.9937645,"16","prefix11","3-single-sibling",19104,0.879
131,"081990502556","NJOY","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,2.6,2.6,"50","prefix11","5-ok",18934,0.88
132,"081010830021","ZEO","ZEO","ZEO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO TOBACCO BOX 1 COUNT",1,3,3,"50","prefix10","5-ok",18698,0.882
133,"079182782732","AVATA","AVATA","AVATA SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO PINEAPPLE BANANA BOX 1 COUNT",1,12,12,"25","line+carts","5-ok",18684,0.883
134,"085438400468","LOGIC","LP ECGLC BLACK TOB","LP ECGLC BLACK TOB",5,1.45,7.25,"18","prefix10","1-CHECK",18591,0.884
135,"088796900994","BLU","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",2,1.5,3,"40","prefix11","5-ok",18238,0.886
136,"085001975227","PUUR VAPOR","PUUR VAPOR","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO PINA COLADA 750 PUFFS BOX 1 COUNT",1,12,12,"13.5","prefix10","4-minor",17973,0.887
137,"085570400541","MISTIC","MISTIC 2.0 E-CG","MISTIC 2.0 E-CG",1,10,10,"24","prefix8+carts","1-CHECK",17803,0.888
138,"085014900705","MISTIC","M2CFP E-CG MILK AND HONEY","M2CFP E-CG MILK AND HONEY",1,1,1,"18","brand+carts","2-weak",17676,0.889
139,"081010830024","ZEO","ZEO","ZEO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO TOBACCO BOX 1 COUNT",1,3,3,"50","prefix10","5-ok",17518,0.89
140,"085001975207","PUUR VAPOR","PUUR VAPOR","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO BLUE RAZZ 750 PUFFS BOX 1 COUNT",1,12,12,"13.5","prefix10","4-minor",17386,0.892
141,"085570400754","HAUS","HAUS E-CG LIQUID JAM SESSION","HAUS E-CG LIQUID JAM SESSION",1,5,5,"18","prefix10","1-CHECK",17260,0.893
142,"081002599277","IGNITE","IGNITE","IGNITE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO BANANA ICE BOX 1 COUNT",1,1.2,1.2,"25","prefix11","3-single-sibling",17064,0.894
143,"081649401350","NICOTEK","NICOTEK METRO E-CG MN","NICOTEK METRO E-CG MN",2,1,2,"18","prefix8+carts","5-ok",17014,0.895
144,"084920500050","VUSE","VUSE DVC OGN/BT&ECCR","VUSE DVC OGN/BT&ECCR",1,3,3,"48","prefix11","1-CHECK",16582,0.896
145,"088796901080","BLU","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,2.25,2.25412425,"28.7","prefix11","4-minor",16273,0.898
146,"088886130204","NJOY","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,3,3,"48","prefix11","3-single-sibling",16113,0.899
147,"085438400412","LOGIC","LOGIC E-CG REGULAR TOB","LOGIC E-CG REGULAR TOB",1,7.25,7.25,"18","prefix10","1-CHECK",15965,0.9
148,"085438400471","LOGIC","LP ECGLC BLACK MN","LP ECGLC BLACK MN",5,1.45,7.25,"18","prefix10","1-CHECK",15843,0.901
149,"081821401008","GREEN SMOKE","GREEN SMOKE E-CGCM M-I RFL","GREEN SMOKE E-CGCM M-I RFL",3,1,3,"24","line+carts","3-single-sibling",15831,0.902
150,"081068701787","NJOY","NJOY E-CG LIQUID BLD-ORNGE","NJOY E-CG LIQUID BLD-ORNGE",1,10,10,"8","prefix11","5-ok",15758,0.903
151,"085001975205","PUUR VAPOR","PUUR VAPOR","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO LUSH IC 750 PUFFS BOX 1 COUNT",1,12,12,"13.5","prefix10","4-minor",15655,0.904
152,"081991301288","JUUL","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",4,0.7,2.8,"17.9","prefix11","3-single-sibling",15628,0.905
153,"081990502559","NJOY","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,2.6,2.6,"50","prefix11","5-ok",15592,0.906
154,"819905028503","NJOY","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1.5,1.5,"60","line_percart","2-weak",15271,0.908
155,"081068701811","NJOY","NJOY E-CG LIQUID PEACH TEA","NJOY E-CG LIQUID PEACH TEA",1,5.53,5.527495,"11.8","prefix11","1-CHECK",15100,0.909
