"row_id","upc","brand_filled","product_line","product_descr","imputed_num_cartridges","imputed_mL_per_cartridge","imputed_total_mL","imputed_nic_mg_per_ml","imputation_basis","priority","total_units","cum_unit_share"
188,"061772451155","SQUARE","SQ-DR E-CG LIQUID PE-SRS","SQ-DR E-CG LIQUID PE-SRS",1,,,,"none","1-no-value",128,0.126
189,"085436100466","NE WHERE","NE WHERE E-CG LIQUID WM MINT","NE WHERE E-CG LIQUID WM MINT",1,,,,"none","1-no-value",127,0.126
190,"061645399352","SQUARE","SQUARE LVP MOMMA MIA XL","SQUARE LVP MOMMA MIA XL",1,,,,"none","1-no-value",125,0.126
191,"079357305740",,,,,,,,"none","1-no-value",117,0.126
192,"081009691191","JUICE","JUICE HEAD","JUICE HEAD SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO PEACH PEAR JUICE HEAD BOX 1 COUNT",1,,,,"none","1-no-value",117,0.126
193,"061772451140","SQUARE","SQ-DR E-CG LIQUID MML","SQ-DR E-CG LIQUID MML",1,,,,"none","1-no-value",116,0.126
194,"085193300304","BLAZE","BLAZE E-CG OGN OLS","BLAZE E-CG OGN OLS",1,,,,"none","1-no-value",113,0.126
195,"061737594343","SQUARE","SQUARE LVP ROYAL DAGGER XL","SQUARE LVP ROYAL DAGGER XL",1,,,,"none","1-no-value",111,0.126
196,"075166716459","EZ CIG","EZ CIG E-CG BC","EZ CIG E-CG BC",1,,,,"none","1-no-value",110,0.126
197,"081066902118",,,,,,,,"none","1-no-value",109,0.126
198,"061645399353","SQUARE","SQUARE","SQUARE SMOKING ALTERNATIVE PRODUCT LIQUID VAPORIZER PEN MAGIC MELON 1000 PUFFS BOX 1 COUNT",1,,,,"none","1-no-value",106,0.126
199,"081066902111",,,,,,,,"none","1-no-value",104,0.126
200,"085604000325",,,,,,,,"none","1-no-value",99,0.126
201,"081066902117",,,,,,,,"none","1-no-value",97,0.127
202,"065436704336","CIGALECTRIC","CIGALECTRIC E-CGC MN","CIGALECTRIC E-CGC MN",1,,,,"none","1-no-value",96,0.127
203,"081066902116",,,,,,,,"none","1-no-value",95,0.127
204,"079357323340",,,,,,,,"none","1-no-value",94,0.127
205,"081066902141",,,,,,,,"none","1-no-value",94,0.127
